Week;Boston Celtics: (United States)
2016-10-30;11
2016-11-06;7
2016-11-13;10
2016-11-20;9
2016-11-27;8
2016-12-04;8
2016-12-11;8
2016-12-18;9
2016-12-25;13
2017-01-01;9
2017-01-08;11
2017-01-15;9
2017-01-22;11
2017-01-29;14
2017-02-05;13
2017-02-12;15
2017-02-19;24
2017-02-26;15
2017-03-05;13
2017-03-12;11
2017-03-19;12
2017-03-26;15
2017-04-02;16
2017-04-09;16
2017-04-16;41
2017-04-23;39
2017-04-30;46
2017-05-07;55
2017-05-14;100
2017-05-21;82
2017-05-28;8
2017-06-04;8
2017-06-11;16
2017-06-18;36
2017-06-25;19
2017-07-02;36
2017-07-09;17
2017-07-16;10
2017-07-23;9
2017-07-30;6
2017-08-06;6
2017-08-13;6
2017-08-20;25
2017-08-27;17
2017-09-03;8
2017-09-10;6
2017-09-17;8
2017-09-24;8
2017-10-01;12
2017-10-08;12
2017-10-15;53
2017-10-22;18
2017-10-29;23
2017-11-05;34
2017-11-12;45
2017-11-19;42
2017-11-26;25
2017-12-03;23
2017-12-10;22
2017-12-17;23
2017-12-24;30
2017-12-31;27
2018-01-07;17
2018-01-14;17
2018-01-21;18
2018-01-28;27
2018-02-04;27
2018-02-11;21
2018-02-18;10
2018-02-25;14
2018-03-04;18
2018-03-11;15
2018-03-18;15
2018-03-25;15
2018-04-01;17
2018-04-08;14
