Week;Brooklyn Nets: (United States)
2016-10-30;69
2016-11-06;44
2016-11-13;55
2016-11-20;40
2016-11-27;52
2016-12-04;43
2016-12-11;51
2016-12-18;58
2016-12-25;47
2017-01-01;49
2017-01-08;46
2017-01-15;45
2017-01-22;50
2017-01-29;45
2017-02-05;49
2017-02-12;41
2017-02-19;48
2017-02-26;49
2017-03-05;43
2017-03-12;63
2017-03-19;50
2017-03-26;45
2017-04-02;52
2017-04-09;47
2017-04-16;20
2017-04-23;19
2017-04-30;17
2017-05-07;16
2017-05-14;36
2017-05-21;20
2017-05-28;19
2017-06-04;20
2017-06-11;19
2017-06-18;64
2017-06-25;37
2017-07-02;43
2017-07-09;47
2017-07-16;38
2017-07-23;32
2017-07-30;23
2017-08-06;22
2017-08-13;23
2017-08-20;30
2017-08-27;19
2017-09-03;20
2017-09-10;18
2017-09-17;23
2017-09-24;29
2017-10-01;43
2017-10-08;47
2017-10-15;61
2017-10-22;100
2017-10-29;65
2017-11-05;46
2017-11-12;58
2017-11-19;54
2017-11-26;40
2017-12-03;50
2017-12-10;56
2017-12-17;46
2017-12-24;44
2017-12-31;48
2018-01-07;50
2018-01-14;48
2018-01-21;43
2018-01-28;47
2018-02-04;53
2018-02-11;37
2018-02-18;25
2018-02-25;48
2018-03-04;36
2018-03-11;43
2018-03-18;34
2018-03-25;40
2018-04-01;36
2018-04-08;32
