Week;Milwaukee Bucks: (United States)
2016-10-30;25
2016-11-06;20
2016-11-13;21
2016-11-20;27
2016-11-27;28
2016-12-04;28
2016-12-11;27
2016-12-18;31
2016-12-25;25
2017-01-01;40
2017-01-08;27
2017-01-15;25
2017-01-22;22
2017-01-29;21
2017-02-05;24
2017-02-12;20
2017-02-19;20
2017-02-26;24
2017-03-05;21
2017-03-12;27
2017-03-19;27
2017-03-26;30
2017-04-02;25
2017-04-09;41
2017-04-16;100
2017-04-23;77
2017-04-30;12
2017-05-07;9
2017-05-14;10
2017-05-21;9
2017-05-28;10
2017-06-04;10
2017-06-11;11
2017-06-18;21
2017-06-25;17
2017-07-02;22
2017-07-09;18
2017-07-16;14
2017-07-23;13
2017-07-30;11
2017-08-06;12
2017-08-13;10
2017-08-20;11
2017-08-27;11
2017-09-03;9
2017-09-10;8
2017-09-17;10
2017-09-24;12
2017-10-01;19
2017-10-08;14
2017-10-15;49
2017-10-22;56
2017-10-29;39
2017-11-05;50
2017-11-12;42
2017-11-19;33
2017-11-26;29
2017-12-03;34
2017-12-10;31
2017-12-17;41
2017-12-24;42
2017-12-31;30
2018-01-07;36
2018-01-14;30
2018-01-21;43
2018-01-28;45
2018-02-04;45
2018-02-11;34
2018-02-18;30
2018-02-25;40
2018-03-04;44
2018-03-11;36
2018-03-18;43
2018-03-25;62
2018-04-01;50
2018-04-08;54
