Week;Phoenix Suns: (United States)
2016-10-30;68
2016-11-06;50
2016-11-13;45
2016-11-20;37
2016-11-27;31
2016-12-04;43
2016-12-11;43
2016-12-18;37
2016-12-25;34
2017-01-01;36
2017-01-08;41
2017-01-15;39
2017-01-22;39
2017-01-29;47
2017-02-05;45
2017-02-12;40
2017-02-19;48
2017-02-26;41
2017-03-05;56
2017-03-12;39
2017-03-19;65
2017-03-26;47
2017-04-02;66
2017-04-09;35
2017-04-16;21
2017-04-23;16
2017-04-30;19
2017-05-07;19
2017-05-14;29
2017-05-21;19
2017-05-28;19
2017-06-04;20
2017-06-11;24
2017-06-18;69
2017-06-25;41
2017-07-02;51
2017-07-09;35
2017-07-16;30
2017-07-23;45
2017-07-30;34
2017-08-06;33
2017-08-13;25
2017-08-20;20
2017-08-27;17
2017-09-03;14
2017-09-10;16
2017-09-17;18
2017-09-24;22
2017-10-01;30
2017-10-08;30
2017-10-15;87
2017-10-22;100
2017-10-29;60
2017-11-05;63
2017-11-12;77
2017-11-19;48
2017-11-26;41
2017-12-03;46
2017-12-10;35
2017-12-17;41
2017-12-24;45
2017-12-31;47
2018-01-07;45
2018-01-14;36
2018-01-21;37
2018-01-28;60
2018-02-04;57
2018-02-11;54
2018-02-18;34
2018-02-25;47
2018-03-04;40
2018-03-11;46
2018-03-18;43
2018-03-25;45
2018-04-01;40
2018-04-08;36
