Week;Philadelphia 76ers: (United States)
2016-10-30;25
2016-11-06;26
2016-11-13;23
2016-11-20;29
2016-11-27;29
2016-12-04;21
2016-12-11;24
2016-12-18;20
2016-12-25;19
2017-01-01;23
2017-01-08;33
2017-01-15;48
2017-01-22;52
2017-01-29;37
2017-02-05;31
2017-02-12;36
2017-02-19;45
2017-02-26;31
2017-03-05;18
2017-03-12;23
2017-03-19;18
2017-03-26;19
2017-04-02;17
2017-04-09;16
2017-04-16;9
2017-04-23;7
2017-04-30;8
2017-05-07;9
2017-05-14;21
2017-05-21;15
2017-05-28;14
2017-06-04;17
2017-06-11;30
2017-06-18;77
2017-06-25;32
2017-07-02;42
2017-07-09;28
2017-07-16;17
2017-07-23;14
2017-07-30;12
2017-08-06;12
2017-08-13;12
2017-08-20;10
2017-08-27;9
2017-09-03;8
2017-09-10;9
2017-09-17;11
2017-09-24;14
2017-10-01;23
2017-10-08;27
2017-10-15;47
2017-10-22;40
2017-10-29;44
2017-11-05;35
2017-11-12;55
2017-11-19;54
2017-11-26;52
2017-12-03;43
2017-12-10;45
2017-12-17;34
2017-12-24;34
2017-12-31;33
2018-01-07;25
2018-01-14;28
2018-01-21;31
2018-01-28;34
2018-02-04;34
2018-02-11;36
2018-02-18;26
2018-02-25;54
2018-03-04;35
2018-03-11;34
2018-03-18;38
2018-03-25;66
2018-04-01;82
2018-04-08;100
